periods_n,posts_total,vol_tv_mean,vol_tv_p90,turn_rate,entropy_mean,hhi_mean,top1_mean
5,921,0.12570613115808055,0.1823515338268636,0,1.3156002896861776,0.39673228447888087,0.5894006287079219
29,577,0.4391435950932436,0.7027972027972027,0.5357142857142857,1.5761500847050147,0.31489597012508064,0.45291292795458266
6,792,0.3062803964232258,0.36550703439156396,0.2,2.8883776823934113,0.07313483485723159,0.1495176999114446
7,1014,0.17978443827412202,0.227035080758485,0,1.5954257463066686,0.31795763518273157,0.5135873929771192
22,986,0.42579615718354635,0.525,0.8095238095238095,2.3011754731773304,0.1296895669252095,0.21815998723759591
16,1002,0.3336736503476369,0.39810877787922266,0.8666666666666667,2.299211525596895,0.1374224439805419,0.25162522916072344
25,668,0.31228194629378275,0.46303030303030307,0.20833333333333334,1.101378637109854,0.4391500454900749,0.5855414506687665
29,988,0.42829136981129884,0.567192118226601,0.75,2.1775601097878283,0.1475607983783348,0.2420471686531408
11,406,0.28854025531177113,0.42149390243902435,0,1.2977817232098063,0.4167969440239356,0.5944470593974491
2,789,0.25599005773921635,0.25599005773921635,1,2.995339386556914,0.06523553873554411,0.1338885972766851
3,963,0.3039752895302797,0.32783598880326936,0.5,2.9267606740696057,0.0749067750764346,0.17117817887203166
7,982,0.31438351638477924,0.37494180246092457,0.8333333333333334,2.8163841734727995,0.07749385280567801,0.14097422083840513
7,1014,0.300852730242591,0.3511974050893143,0.5,2.5510964080348444,0.10410612092058251,0.1895837962927986
30,865,0.2115919119789205,0.3924533799533799,0.06896551724137931,0.6754783579448649,0.6846979906584946,0.7839119157287351
3,43,0.6028708133971292,0.7215311004784688,0.5,1.6211999253976874,0.2646102388271576,0.4011777695988222
2,960,0.11218166471084756,0.11218166471084756,0,0.707192071796918,0.7016548911030649,0.8295555143804171
7,790,0.4269384682263147,0.46340579710144925,0.6666666666666666,2.7203298615999665,0.09464185860197893,0.1984498365397808
16,1009,0.29665787135306254,0.376007326007326,0.5333333333333333,2.390289930317567,0.11599619837009073,0.19785218729489723
7,516,0.36636734582112584,0.46712941011186626,0.5,2.5382663930066527,0.108855995716384,0.21252563291508547
5,1015,0.4088435152469585,0.551205717927179,0.75,2.4966493440445454,0.11234914982240193,0.20878069111374237
2,921,0.11429058874620013,0.11429058874620013,0,2.380218373617316,0.16439586272435014,0.34995192009429865
16,981,0.48685870873983095,0.6099137676751855,0.9333333333333333,2.5501556349501278,0.10433076000131343,0.2011161970476628
23,847,0.36124246279520006,0.50509916440149,0.3181818181818182,1.620102570863069,0.3411125961167147,0.4781907401157649
6,947,0.172098354212128,0.24655637140998232,0,1.4306584816323689,0.33707511834371506,0.5223766559345816
6,774,0.08638827929237172,0.12351161669010703,0,0.8233586311152563,0.6182326001690105,0.7684655046757373
5,994,0.346877565681445,0.39474654377880186,0.5,2.7109396357491553,0.11050049885622526,0.2458132051485778
5,53,0.1412878787878788,0.19454545454545455,0,0.34249749062908846,0.8066345270890725,0.886969696969697
13,969,0.2996086642317033,0.4197902721999108,0.6666666666666666,2.316885788603322,0.1340391931688198,0.24310583889949677
3,310,0.4028737479243666,0.47637527451925654,0,1.6909829897849136,0.31693281402075885,0.46872265966754156
8,980,0.3013707160190303,0.3597948717948718,0.7142857142857143,2.6513291819189178,0.0947102137115818,0.18324512352898778
19,807,0.4894083926736784,0.6163063986874487,0.8888888888888888,1.9589723287636087,0.20386198183347518,0.33734106984397966
4,964,0.26477402315509324,0.30925440638510143,0,2.169791376885645,0.16755184498915476,0.3187833894614652
8,982,0.3046528576144264,0.3679030967580186,0.5714285714285714,2.6837965408555853,0.09559305283273284,0.19801197595609055
12,769,0.42123132809272334,0.5041367898510756,0.7272727272727273,2.5109004944745785,0.1034784315409968,0.18924684589004012
19,1010,0.13422855037153325,0.18576346404442054,0,0.737630404342231,0.6762730673582409,0.8063836983641888
5,960,0.3056866209570769,0.37279060945039283,0,2.4846845016760777,0.1130176484243773,0.21286379507716768
21,980,0.40186518151317696,0.575974025974026,0.4,1.892783257967729,0.21089108753726504,0.36505276646147694
5,1011,0.21501209805331578,0.24248893143472539,0.25,2.711977396097645,0.0865312182551364,0.16188710400441292
14,831,0.3888409234249878,0.4537886150642138,0.3076923076923077,2.4832105330016385,0.12271106066171196,0.2540403305340936
7,98,0.24894179894179894,0.42820512820512824,0,0.5029725493142209,0.71402439489305,0.8118611547182976
9,966,0.3923470734189233,0.5142531323699254,0.875,2.5313258916163206,0.11021161066543658,0.21947203574256707
4,653,0.2559972847392547,0.28413629763858933,0,2.847124446897429,0.08597913594915631,0.19455412986489884
17,985,0.3937111521146311,0.5280996177735309,0.6875,1.4411137256409794,0.306412643824025,0.4393617056300196
6,370,0.502720166647614,0.5939512075014876,0.6,2.079243970913108,0.22212183006586936,0.3763544971373726
25,969,0.41341037319855717,0.55,0.625,2.2566313092462704,0.1297225593706159,0.21821068897251863
6,976,0.2412107049477897,0.258619855674207,0.2,2.551332223500799,0.10399541303108416,0.19795847415257506
6,448,0.22390323242597293,0.3462602504609383,0,0.9478647427674982,0.587925653063473,0.7325846988343705
16,942,0.2908474925233067,0.3604056906675182,0.2,2.1652751331114155,0.15735864288289675,0.28969616661466085
11,146,0.3498717948717949,0.4516666666666666,0.2,1.1137873845710722,0.4426872198931957,0.5927844882390336
9,997,0.435542878625741,0.5981505515898767,0.5,2.444884971979862,0.1320719793714245,0.2539087556359326
6,899,0.15091797939845478,0.19861020417047584,0,1.0884600683422827,0.49103638104840774,0.6585333094246507
8,794,0.34589657617481134,0.41870337766371907,0.42857142857142855,2.4819950083798386,0.11997940865780725,0.23054774403244305
8,654,0.3459610830793657,0.43657927810729175,0.8571428571428571,2.294638116900786,0.13441954290615138,0.2390760692308727
24,682,0.21227379138030075,0.4798468198468199,0.13043478260869565,0.5677431193996088,0.7244180464756411,0.8101365711316525
12,879,0.38458944015689567,0.506180193596426,0.18181818181818182,2.102750089995313,0.2265070623968393,0.40693433297335657
5,645,0.27442755710956873,0.33307586491505603,0.5,2.775154171624693,0.08358278991928114,0.15850012437595737
18,245,0.6006900432779143,0.8841628959276019,0.5294117647058824,1.3078149507221744,0.4179172106413875,0.5239110648553373
11,507,0.5379338680611386,0.7782095066539224,0.6,1.525444984053391,0.3915663849717852,0.516931427721575
27,742,0.34685470195417495,0.4726817042606516,0.46153846153846156,1.5163243717724324,0.285850800888602,0.42911250430337833
4,976,0.35717580794023723,0.4253283585830432,0.6666666666666666,2.6509653586588335,0.10454122790384238,0.22197425617182737
20,905,0.24017815974287346,0.3198869623527157,0.10526315789473684,1.2408317471717332,0.3649083680570864,0.5253565572800014
7,262,0.4888161751848843,0.5861842105263158,0.6666666666666666,1.565580136260946,0.3067979851205452,0.4862782567127218
17,977,0.3191345911411468,0.4255390807210757,0.125,2.00133182732559,0.20144105238852197,0.35733543360627734
2,993,0.16443908200287194,0.16443908200287194,0,3.0371079974336426,0.060265540383717384,0.13588124835373988
13,365,0.334792299016437,0.4368181818181818,0,1.0043658950402814,0.5011146588001919,0.6534953169435928
19,919,0.36698950466452757,0.5687082204155376,0.3333333333333333,1.0761890140018047,0.5244829235591871,0.6745044930097266
8,848,0.25136229125489057,0.2894265807071637,0.7142857142857143,2.5371317428443447,0.10547489625503341,0.18825636937049223
