period,posts_n,top_topic,top1_share,entropy,hhi,vol_tv,vol_js,turn_top1
2023/9/1,33,5,0.24242424242424243,2.362266720550206,0.13865932047750232,0.5487012987012987,0.2265872658096348,1
2023/10/1,19,18,0.2631578947368421,2.2015118659867245,0.13573407202216065,0.7352472089314195,0.41223472307167414,1
2023/11/1,21,0,0.2857142857142857,1.797701254015762,0.20181405895691606,0.5463659147869674,0.26852325124853044,1
2023/12/1,10,28,0.5,1.3592367006650066,0.32,0.7142857142857143,0.435636483515925,1
2024/1/1,33,6,0.12121212121212122,2.592905143361753,0.08172635445362719,0.696969696969697,0.3695192499872978,1
2024/2/1,25,3,0.12,2.525186602973121,0.08800000000000001,0.5975757575757576,0.35936508283739393,1
2024/3/1,54,18,0.2037037037037037,2.7576459365849444,0.08299039780521261,0.6266666666666667,0.37453232109988555,1
2024/4/1,40,7,0.175,2.330648189256551,0.1125,0.4546296296296296,0.18985888445546434,1
2024/5/1,16,25,0.25,1.7868083399845722,0.1875,0.38750000000000007,0.18228943894016636,1
2024/8/1,17,18,0.23529411764705882,2.2316069516089345,0.12802768166089964,0.7022058823529412,0.42312477699670853,1
2024/9/1,13,5,0.23076923076923078,2.098147389135067,0.13609467455621305,0.6696832579185521,0.3459875166109629,1
2024/10/1,28,18,0.25,2.094045295910873,0.14540816326530612,0.554945054945055,0.2849125869616541,1
2024/11/1,24,18,0.25,2.2244118306872562,0.1284722222222222,0.2857142857142857,0.13010575623804488,0
2024/12/1,24,7,0.25,2.2026098246970665,0.13194444444444445,0.375,0.11445543829615341,1
2025/2/1,10,18,0.2,2.163955656882057,0.12000000000000002,0.65,0.3741099191026843,1
2025/3/1,24,36,0.20833333333333334,2.3588541388940216,0.11458333333333334,0.7083333333333333,0.43589644087263735,1
2025/4/1,31,0,0.16129032258064516,2.2805945683807853,0.11758584807492195,0.27956989247311825,0.10845336894681176,1
2025/5/1,38,6,0.18421052631578946,2.4214588028031496,0.09972299168975068,0.3556876061120543,0.13415184666700952,1
2025/6/1,26,6,0.34615384615384615,1.89088471832497,0.19230769230769232,0.46356275303643724,0.17320064969912344,0
2025/7/1,12,6,0.25,1.8636799873410004,0.16666666666666669,0.43589743589743585,0.21291451148527055,0
2025/3/1,51,1,0.27450980392156865,2.400282322131297,0.1257208765859285,,,
2025/4/1,210,1,0.2523809523809524,2.7738289454740572,0.09941043083900225,0.3453781512605042,0.12909323862569722,0
2025/5/1,149,1,0.2483221476510067,2.919833290737453,0.09004098914463311,0.22217961009907317,0.056864032848251714,0
2025/6/1,295,1,0.22372881355932203,2.785215986951166,0.09577707555300201,0.2168353998407462,0.052070426958179,0
2025/7/1,284,1,0.2640845070422535,2.6719528127414973,0.11096508629240226,0.2613630938171401,0.07393961799881811,0
2025/8/1,10,10,0.3,1.6957425341696346,0.2,0.7359154929577465,0.43358086292269504,1
2025/6/1,384,33,0.13020833333333334,3.041233515915667,0.06026204427083334,,,
2025/7/1,588,1,0.10884353741496598,3.0424495191182284,0.06160627516312647,0.19308035714285715,0.03328922634734105,1
2025/5/1,10,26,0.6,0.8979457248567797,0.45999999999999996,,,
2025/6/1,16,26,0.8125,0.6885673693022827,0.671875,0.39999999999999997,0.21163466519114818,0
2025/7/1,29,26,0.6896551724137931,1.205667064699591,0.4910820451843044,0.3103448275862069,0.17505420955031006,0
2021/8/1,21,17,0.7142857142857143,0.8872422356445006,0.5419501133786848,,,
